 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
76, , , , , , , , ,25,14,R,41,2,10,11,LATE OFF, ,12 BLF,12/13/BLF,9,R, ,R,8, , ,ERLY OFF, , ,UND G, , ,4,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.025
77, , , , , , , , ,64,16,R,42,1,10,11,LATE OFF, ,13 BLF,12/13/BLF,8,R, ,R,4, , ,ERLY OFF, , ,UND G,4,STRONG,3 STR,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.064
78, , , , , , , , ,56,12,R,-32,3,8,11,LATE OFF, ,13 BLF,12/13/BLF,12,R, ,R,4, , ,ERLY OFF, , , , , ,2 TAMPA,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.056
79, , , , , , , , ,18,12,L,-30,1,10,11,PLN OFF FLO X ON, ,13 BLF,12/13/BLF,12,R, ,R,4, , ,UNB, , ,UND G BS,4, ,6,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.018
81, , , , , , , , ,4,16,L,-20,1,10,11,TEMPO,H MV,12 BLF,12/13/BLF,16,R, ,R,4, , ,UNBL, , ,OVR +,4,NOT,6 FLD,NCCU,RICHMOND,23 1528 11-25-2023 VARI D vs NCCE.004
82, , , , , , , , ,10,16,R,7,2,4,11,LATE OFF, ,13 BLF,12/13/BLF,2,R, ,R,3, , ,ERLY OFF, ,GUT X,UND G,5, ,MATCH,NC A&T,RICHMOND,23 0898 10-21-2023 VARI D @ NCAT.010
83, , , , , , , , ,49,14, ,31,3,5,11,LATE OFF, ,13 BLF,12/13/BLF,14,R, ,R,2, , ,ERLY OFF,N,SAW,UGW, ,SHIFTED W/ RB,4B,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.049
84, , , , , , , , ,62,18,L,-32,1,10,11,PLN OFF FLO X ON, ,13 BLF,12/13/BLF,2,R, ,R,1, , ,UNB, , ,UND 4i,4, ,6,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.062
85, , , , , , , , ,34,14,R,36,0,10,11,LATE OFF,H MV,13 BLF,12/13/BLF,9,R, ,R,1, , , , , ,BEAR 9, , ,1,HAMPTON,RICHMOND,24 1326 11-16-2024 VARI D @ VAHI.034
86, , , , , , , , ,57,14,R,-32,1,10,11,LATE OFF, ,13 BLF,12/13/BLF,1,INC, ,P,0, , ,ERLY OFF, , ,UND G, , ,4 POACH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.057
